,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
14,51 Peg b,4.230785,0.46,0.0521068,0.013,80.0,1.9,,,1,RV,1995,344.3660417,20.76868333,0.666,5.45,15.6079,1.054,1.02451,5786.68,4.44905,0.199853,3.6e-05,0.01,0.000868447,0.012,19.0,0.3,,,0.0931234,0.039,0.0355286,44.0,0.06,0.03,-3.6e-05,0.06,0.000868447,0.012,10.0,0.3,,,0.0920248,0.036,0.0355286,44.0,0.06,0.03,2.57216,0.5,0.5,4.0,2.5,2.5,0.148345,-5.07959
36,BD -10 3166 b,3.4878,0.429903,0.0437823,0.0104,,1.03,,,1,RV,2000,164.6199167,-10.77036111,0.903,10.08,82.15,0.92,0.745254,5393.03,4.68527,0.381727,0.0001,0.0174084,0.000729706,0.0104,,,,,3.17,0.046,0.0293836,44.0,0.06,0.03,0.0001,0.0174084,0.000729706,0.0192,,,,,-2.95,0.024,0.0293836,44.0,0.06,0.03,0.921575,0.5,0.5,4.18,,,0.215648,-4.90713
37,CoRoT-1 b,1.5089557,1.03,0.0254,0.0,85.1,1.49,77.0,0.420251,1,Transit,2008,102.0798833,-3.102111111,0.16,13.6,460.0,0.95,1.11,6298.0,4.25,-0.3,6.4e-06,0.12,0.0004,,0.5,0.08,11.0,0.036655,100.0,0.15,0.05,66.0,0.3,0.25,6.4e-06,0.12,0.0004,,0.5,0.08,11.0,0.036655,100.0,0.15,0.05,66.0,-0.3,-0.25,5.2,1.0,-1.0,,,,,
39,CoRoT-11 b,2.99433,2.33,0.04351,0.0,83.17,1.43,0.1,0.818,1,Transit,2010,280.6872917,5.937694444,0.93,12.8,560.0,1.27,1.37,6343.0,4.22,-0.03,1.1e-05,0.27,0.00036,,0.15,0.03,2.6,0.008,30.0,0.05,0.03,72.0,0.23,0.08,-1.1e-05,0.27,0.00036,,-0.15,-0.03,2.6,-0.008,30.0,0.05,-0.03,72.0,-0.23,-0.08,40.0,5.0,-5.0,2.0,1.0,1.0,,
40,CoRoT-12 b,2.828042,0.917,0.04016,0.07,85.48,1.44,,0.573,1,Transit,2010,100.765675,-1.296416666,0.828,15.515,1150.0,1.078,1.116,5675.0,4.375,0.16,1.3e-05,0.07,0.00092,0.042,0.72,0.13,,0.027,85.0,0.072,0.092,80.0,0.065,0.1,-1.3e-05,0.065,0.00092,0.042,-0.77,0.13,,-0.03,85.0,0.072,0.092,80.0,0.062,0.1,1.0,1.0,-1.0,6.3,3.1,3.1,,
41,CoRoT-13 b,4.03519,1.308,0.051069,0.0,88.02,0.885,,0.374,1,Transit,2010,102.721125,-5.086416667,0.738,15.039,1310.0,1.09,1.01,5945.0,4.46,0.01,3e-05,0.066,0.00085115,,0.036,0.014,,0.054,100.0,0.02,0.03,90.0,0.05,0.07,3e-05,0.066,0.00085115,,0.036,0.014,,-0.054,100.0,0.02,0.03,90.0,-0.05,0.07,4.0,1.0,-1.0,1.635,1.515,-1.515,,
42,CoRoT-14 b,1.51214,7.56823,0.0269122,0.0,79.6,1.09,,0.86,1,Transit,2011,103.4242083,-5.536027778,0.858,16.033,1340.0,1.13,1.21,6035.0,4.35,0.05,0.00013,0.453047,0.000714486,,0.8,0.07,,0.02,110.0,0.09,0.08,100.0,0.15,0.15,-0.00013,0.453047,0.000714486,,0.8,0.07,,-0.02,110.0,0.09,0.08,100.0,-0.15,0.15,9.0,0.5,-0.5,4.2,3.8,3.8,,
43,CoRoT-16 b,5.35227,0.535,0.0618,0.33,85.01,1.17,,0.825,1,Transit,2012,278.5246376,-6.002583333,1.05,15.63,840.0,1.098,1.19,5650.0,4.36,0.19,0.0002,0.085,0.0015,0.09,0.94,0.14,,0.03,90.0,0.078,0.14,100.0,0.1,0.06,0.0002,0.085,0.0015,-0.1,-1.2,0.14,,-0.039,90.0,0.078,0.14,100.0,-0.1,0.06,0.5,0.5,0.5,6.73,2.8,2.8,,
44,CoRoT-17 b,3.768125,2.43,0.0461,0.0,88.34,1.02,,0.18,1,Transit,2011,278.699225,-6.61225,1.5,15.46,919.997,1.04,1.5121,5740.0,4.4,0.0,0.000257,0.16,0.0008,,1.54,0.07,,0.16,49.9996,0.1,0.0494171,80.0,0.1,0.1,0.000257,0.16,0.0008,,1.54,0.07,,-0.16,49.9998,0.1,0.0494171,80.0,-0.1,0.1,4.5,0.5,-0.5,10.7,1.0,1.0,,
45,CoRoT-18 b,1.9000693,3.48002,0.0295483,0.04,86.5,1.31,10.0,0.4,1,Transit,2011,98.1724125,-0.031583334,0.79,15.0,870.0,0.95,1.0,5440.0,4.4,-0.1,2.8e-06,0.375551,0.00155517,0.04,0.9,0.18,20.0,0.08,90.0,0.15,0.13,100.0,0.1,0.1,2.8e-06,0.375551,0.00155517,0.04,0.9,0.18,20.0,-0.14,90.0,0.15,0.13,100.0,-0.1,0.1,8.0,1.0,-1.0,,,,,
46,CoRoT-19 b,3.89713,1.11,0.0518,0.047,87.61,1.29,-52.0,0.24,1,Transit,2012,97.03357917,-0.170694444,0.56,14.007,770.001,1.21,1.65,6090.0,4.07,-0.02,2e-05,0.06,0.0008,0.045,0.37,0.03,27.0,0.08,65.5021,0.05,0.04,70.0,0.03,0.1,2e-05,0.06,0.0008,0.045,0.37,-0.03,22.0,-0.08,55.9783,-0.05,0.04,70.0,-0.03,0.1,6.0,1.0,-1.0,5.0,1.0,1.0,,
47,CoRoT-2 b,1.7429935,3.31,0.0280884,0.0143,87.84,1.465,7.2,0.221,1,Transit,2008,291.7770666,1.383694444,0.854,12.57,300.0,0.97,0.902,5575.0,,-0.04,1e-06,0.16,0.000579142,0.0077,0.1,0.029,4.5,0.017,100.0,0.06,0.018,66.0,,0.08,-1e-06,0.16,0.000579142,-0.0076,0.1,0.029,4.5,-0.019,100.0,0.06,0.018,66.0,,0.08,10.87,0.32,-0.32,2.7,3.2,-2.7,,
48,CoRoT-20 b,9.24285,4.24157,0.0902,0.562,88.21,0.84,,0.26,1,Transit,2012,97.72041668,0.226888889,0.65,15.31,1230.0,1.14,1.02,5880.0,4.2,0.14,0.0,0.220224,0.0021,0.013,0.53,0.04,,0.08,120.0,0.08,0.05,90.0,0.15,0.12,0.0,0.220224,0.0021,0.013,0.53,0.04,,-0.08,120.0,0.08,-0.05,90.0,-0.15,0.12,4.5,1.0,-1.0,0.1,0.04,0.04,,
50,CoRoT-23 b,3.6314,2.8,0.0483417,0.16,85.7,1.08,,0.56,1,Transit,2012,279.7826667,4.357777778,1.33,16.96,600.0,1.14,1.61,5900.0,4.3,0.05,0.0001,0.25,0.0011308,0.017,1.5,0.13,,0.1,50.0,0.08,0.18,100.0,0.2,0.1,0.0001,0.25,0.0011308,0.017,1.5,0.13,,-0.23,50.0,0.08,0.18,100.0,-0.2,0.1,9.0,1.0,-1.0,7.2,1.0,1.0,1.5,
52,CoRoT-26 b,4.20474,0.52,0.052477,0.0,86.8,1.26,,0.33,1,Transit,2013,279.7505126,6.969777778,1.083,15.756,1670.0,1.09,1.79,5590.0,3.99,0.01,5e-05,0.05,0.00096288,,2.2,0.13,,0.08,110.0,0.06,0.18,100.0,0.05,0.13,5e-05,0.05,0.00096288,,1.0,0.07,,-0.23,205.0,0.06,0.09,100.0,-0.08,0.13,2.0,1.0,-1.0,8.6,0.9,1.8,,
53,CoRoT-27 b,3.57532,10.39,0.0466557,0.065,86.7,1.007,,0.54,1,Transit,2014,278.4958334,5.538473056,0.962,15.54,,1.05,1.08,5900.0,4.4,-0.1,6e-05,0.55,0.00162925,0.0,1.035,0.044,,0.09,,0.11,0.18,120.0,0.1,0.1,-6e-05,0.55,0.00162925,0.065,1.035,0.044,,-0.17,,0.11,0.06,120.0,-0.1,-0.1,4.0,1.0,-1.0,4.21,2.72,2.72,,
54,CoRoT-28 b,5.20851,0.483851,0.059,0.047,88.1,0.955,,0.24,1,Transit,2015,278.688375,5.573811111,1.219,13.775,560.0,1.01,1.78,5150.0,3.94,0.15,0.00038,0.0613791,0.0027,0.055,0.8,0.066,,0.09,70.0,0.14,0.11,100.0,0.12,0.1,0.00038,0.0613791,0.0027,0.038,-0.8,0.066,,0.09,70.0,0.14,0.11,100.0,0.12,0.1,3.0,0.5,-0.5,12.0,1.5,1.5,,
55,CoRoT-29 b,2.85057,0.852133,0.0389589,0.082,87.3,0.9,,0.43,1,Transit,2015,278.9020833,6.479719445,1.144,15.56,765.0,0.976,0.9,5260.0,4.3,0.2,6e-06,0.142076,0.00187431,0.081,2.7,0.16,,0.44,50.0,0.14,0.12,100.0,0.2,0.1,6e-06,0.142076,0.00187431,-0.081,2.7,0.16,,0.44,50.0,0.14,0.12,100.0,-0.2,0.1,3.5,0.5,-0.5,4.5,3.5,3.5,,
57,CoRoT-4 b,9.20205,0.717419,0.09,0.0,90.0,1.19,,0.0,1,Transit,2008,102.1946458,-0.67275,,13.7,,1.1,1.17,6190.0,4.41,0.05,0.00037,0.0723897,0.001,0.1,0.0,0.05,,0.0258,,0.02,0.01,60.0,0.05,0.0,0.00037,0.0723897,0.001,-0.1,-0.085,0.05,,0.0,,0.02,-0.03,60.0,-0.05,0.0,6.4,1.0,-1.0,1.0,0.3,0.3,,
58,CoRoT-5 b,4.0378962,0.461312,0.04947,0.09,85.83,1.388,,0.755,1,Transit,2009,101.2772542,0.815222222,0.67,14.0,400.0,1.0,1.19,6100.0,4.19,-0.2,1.9e-06,0.0395129,0.00026,0.04,0.99,0.046,,0.017,0.0,0.02,0.04,65.0,0.03,0.06,1.9e-06,0.0395129,-0.00029,0.04,-1.38,-0.047,,-0.022,0.0,0.02,-0.04,65.0,-0.03,0.06,1.0,1.0,-1.0,6.9,1.4,1.4,,
59,CoRoT-6 b,8.886593,2.95325,0.0854177,0.0,89.07,1.166,,0.291,1,Transit,2010,281.072525,6.663194444,0.726,13.912,,1.05,1.025,6090.0,4.44,-0.2,4e-06,0.331379,0.00142363,0.1,0.3,0.035,,0.091,,0.05,0.026,50.0,0.023,0.1,4e-06,0.331379,0.00142363,0.0,0.3,0.035,,0.091,,-0.05,0.026,50.0,0.023,0.1,7.6,1.0,-1.0,,,,,
98,HAT-P-1 b,4.46529976,0.525,0.05561,0.0,85.634,1.319,3.7,0.7501,1,Transit,2007,344.4451041,38.67494444,0.6,10.33,155.279,1.15,1.174,5980.0,4.36,0.13,5.5e-07,0.019,0.00082,,0.056,0.019,2.1,0.0064,16.2471,0.05,0.03,49.0,0.01,0.008,5.5e-07,0.019,-0.00083,inf,0.056,0.019,2.1,-0.0069,13.4355,-0.05,0.03,49.0,-0.01,0.008,2.2,0.2,0.2,3.6,,,0.14,-5.03
101,HAT-P-13 b,2.916243,0.8514,0.0426946,0.0133,83.4,1.272,1.9,0.668,2,Transit,2009,129.8825542,47.35202778,0.73,10.622,214.0,1.22,1.56,5653.0,4.13,0.43,3e-06,0.0353823,0.000874889,0.0041,0.6,0.065,8.6,0.032,12.0,0.05,0.08,90.0,0.04,0.08,3e-06,0.0353823,0.000874889,-0.0041,0.6,-0.065,8.6,0.042,12.0,-0.1,0.08,-90.0,-0.04,0.08,1.66,0.37,-0.37,5.0,0.8,0.8,,
103,HAT-P-14 b,4.627669,2.2,0.0594,0.095,83.2,1.2,-170.9,0.891,1,Transit,2010,260.1161417,38.24219444,0.42,9.98,205.0,1.39,1.47,6600.0,4.25,0.11,5e-06,0.04,0.0004,0.011,0.2,0.04,5.1,0.007,11.0,0.04,0.05,90.0,0.03,0.08,-5e-06,0.04,0.0004,0.011,0.2,0.04,5.1,-0.008,11.0,-0.04,-0.05,90.0,-0.03,0.08,8.4,0.5,-0.5,1.3,0.4,0.4,0.46,
105,HAT-P-16 b,2.77596,4.193,0.0413,0.036,86.6,1.289,10.0,0.439,1,Transit,2010,9.573175005,42.46311111,0.47,10.812,235.0,1.218,1.24,6158.0,4.34,0.17,3e-06,0.094,0.0004,0.004,0.7,0.066,16.0,0.065,5.34076,0.039,0.05,80.0,0.03,0.08,3e-06,0.094,0.0004,0.004,0.7,0.066,16.0,-0.098,5.10856,0.039,-0.05,80.0,-0.03,0.08,3.5,0.5,-0.5,2.0,0.8,0.8,,
109,HAT-P-2 b,5.6334729,9.09,0.06878,0.5171,90.0,0.951,9.0,0.395,1,Transit,2007,245.1515417,41.04815556,0.41,8.71,128.84,1.36,1.64,6414.0,4.16,0.14,6.1e-06,0.24,0.00068,0.0033,0.93,0.053,10.0,0.08,4.28,0.04,0.09,51.0,0.03,0.08,6.1e-06,-0.24,-0.00068,0.0033,0.93,0.053,10.0,-0.123,-4.01,-0.04,-0.08,51.0,-0.03,-0.08,20.8,0.3,-0.3,2.7,0.5,0.5,,-4.72
110,HAT-P-20 b,2.875317,7.246,0.0361,0.015,81.9,0.867,172.0,0.631,1,Transit,2011,111.9164542,24.33647222,,11.339,70.0,0.756,0.69,4595.0,4.63,0.35,4e-06,0.187,0.0005,0.0005,0.1,0.033,6.9,0.025,3.0,0.028,0.02,80.0,0.02,0.08,4e-06,0.187,0.0005,0.0005,0.1,0.033,6.9,-0.028,3.0,0.028,-0.02,80.0,-0.02,0.08,2.1,0.5,-0.5,6.7,3.8,3.8,,
111,HAT-P-21 b,4.124481,4.063,0.0494,0.228,87.2,1.024,,0.546,1,Transit,2011,171.27495,41.02794444,1.1,11.685,254.0,0.95,1.1,5588.0,4.33,0.01,7e-06,0.161,0.0007,0.016,0.7,0.092,,0.074,19.0,0.04,0.08,80.0,0.06,0.08,-7e-06,0.161,0.0007,0.016,0.7,0.092,,-0.139,19.0,-0.04,-0.08,80.0,-0.06,0.08,3.5,0.5,-0.5,10.2,2.5,2.5,,
112,HAT-P-22 b,3.21222,2.147,0.0414,0.016,86.9,1.08,,0.466,1,Transit,2011,155.6816208,50.12833333,0.86,9.732,82.0001,0.916,1.04,5302.0,4.36,0.24,9e-06,0.061,0.0005,0.009,0.6,0.058,,0.052,0.798775,0.035,0.04,80.0,0.04,0.08,9e-06,0.061,0.0005,0.009,-0.5,0.058,,-0.083,0.783501,0.035,-0.04,80.0,-0.04,0.08,0.5,0.5,-0.5,12.4,2.6,2.6,,
113,HAT-P-23 b,1.21288287,2.09,0.0232,0.106,85.74,1.224,15.0,0.324,1,Transit,2011,306.1238501,16.76213889,1.11,11.94,393.0,1.13,1.09,5924.0,4.41,0.16,1.7e-07,0.11,0.0002,0.044,0.95,0.037,22.0,0.07,25.0,0.035,0.03,30.0,0.02,0.03,-1.7e-07,0.11,0.0002,0.044,-0.95,-0.037,22.0,0.101,25.0,0.035,-0.03,30.0,-0.02,0.03,8.1,0.5,-0.5,4.0,1.0,1.0,,
114,HAT-P-24 b,3.35524,0.685,0.0465,0.067,88.6,1.242,20.0,0.189,1,Transit,2010,108.8250833,14.26258333,0.45,11.76,396.0,1.19,1.317,6373.0,4.27,-0.16,7e-06,0.033,0.0006,0.024,0.7,0.067,16.0,0.083,21.1206,0.04,0.068,80.0,0.04,0.08,7e-06,0.033,0.0006,0.024,0.7,0.067,16.0,-0.08,19.0848,-0.04,0.068,80.0,-0.04,0.08,10.0,0.5,-0.5,2.8,0.6,0.6,0.44,
115,HAT-P-25 b,3.652836,0.567,0.0466,0.032,87.6,1.19,,0.45607,1,Transit,2012,48.43541667,25.19738889,0.97,13.15,297.0,1.01,0.959,5500.0,4.48,0.31,1.9e-05,0.022,0.0005,0.022,0.5,0.081,,0.0684105,13.0,0.03,0.037,80.0,0.04,0.08,-1.9e-05,-0.022,-0.0005,-0.022,-0.5,-0.056,,0.0665863,13.0,-0.03,0.037,80.0,-0.04,0.08,0.5,0.5,-0.5,3.2,2.3,2.3,,-4.99
117,HAT-P-27 b,3.0395803,0.62,0.0403,0.078,85.08,1.055,24.2,0.87,1,Transit,2011,222.7674542,5.947361111,0.99,12.2,204.0,0.945,0.898,5300.0,4.51,0.29,1.5e-06,0.03,0.0005,0.047,0.07,0.036,76.0,0.01,14.0,0.035,0.039,90.0,0.04,0.1,1.5e-06,-0.03,0.0005,0.047,0.07,0.036,44.5,-0.01,14.0,0.035,0.039,90.0,-0.04,0.1,0.4,0.4,-0.4,4.4,2.6,2.6,,
118,HAT-P-28 b,3.257215,0.626,0.0434,0.051,88.0,1.212,,0.299,1,Transit,2011,13.000775,34.72838889,0.37,13.03,395.0,1.025,1.103,5680.0,4.36,0.12,7e-06,0.037,0.0007,0.033,0.9,0.0975,,0.114,26.0,0.047,0.069,90.0,0.06,0.08,-7e-06,-0.037,0.0007,0.033,0.9,0.0975,,-0.123,26.0,0.047,0.069,90.0,-0.06,0.08,0.2,0.5,-0.2,6.1,1.9,1.9,0.157,
119,HAT-P-29 b,5.723186,0.778006,0.0667,0.095,87.1,1.107,,0.591,1,Transit,2011,33.131225,51.77875,0.47,11.83,322.0,1.207,1.224,6087.0,4.34,0.21,4.9e-05,0.0641995,0.0008,0.047,0.5,0.109,,0.062,21.0,0.046,0.075,88.0,0.06,0.08,4.9e-05,0.0641995,0.0008,0.047,0.7,0.109,,-0.094,21.0,0.046,0.075,88.0,-0.06,0.08,3.9,0.5,-0.5,2.2,1.0,1.0,0.1421,
120,HAT-P-3 b,2.899736,0.591,0.03866,0.0,87.07,0.899,,0.53,1,Transit,2007,206.0940834,48.02866667,0.67,11.55,137.77,0.92,0.833,5224.0,4.564,0.41,2e-06,0.018,0.00041,0.0,0.55,0.043,,0.075,9.65,0.03,0.034,69.0,0.032,0.08,-2e-06,-0.018,0.00041,0.0,0.55,0.049,,-0.075,-8.46,-0.03,0.044,69.0,0.032,0.08,0.5,0.5,-0.5,1.6,1.3,1.3,,
121,HAT-P-30 b,2.810595,0.711,0.0419,0.035,83.6,1.34,73.5,0.854,1,Transit,2011,123.9499,5.83675,0.451,10.419,193.0,1.18,1.33,6304.0,4.36,-0.08,5e-06,0.028,0.0005,0.024,0.04,0.065,9.0,0.008,8.0,0.03,0.03,88.0,0.03,0.08,5e-06,0.028,0.0005,0.024,0.04,0.065,9.0,-0.01,8.0,0.03,0.03,-88.0,-0.03,0.08,2.2,0.5,-0.5,1.0,0.5,0.5,,
122,HAT-P-31 b,5.005425,2.16627,0.0611921,0.245,87.1,1.07,,0.57,1,Transit,2011,271.5377208,26.42663889,0.35,11.66,325.05,1.218,1.36,6065.0,4.26,0.15,9.1e-05,0.0907295,0.00127274,0.0045,1.8,0.24,,0.23,26.25,0.063,0.18,100.0,0.11,0.08,9.2e-05,0.0907295,0.00127274,0.0045,-2.7,0.16,,-0.31,-22.6,0.063,0.18,100.0,0.13,0.08,0.5,0.6,,3.17,1.11,1.11,,
123,HAT-P-32 b,2.15000805,0.941,0.0343,0.0,88.9,1.789,85.0,0.117,1,Transit,2011,31.04282501,46.68783333,0.35,11.44,320.0,1.16,1.219,6269.0,4.33,-0.04,9.3e-07,0.166,0.0004,0.0,0.4,0.025,1.5,0.045,16.0,0.041,0.016,64.0,0.01,0.08,-9.7e-07,0.166,-0.0004,0.0,-0.4,-0.025,1.5,0.047,16.0,0.041,0.016,-64.0,0.01,-0.08,20.7,0.5,,3.8,0.5,0.5,,
124,HAT-P-33 b,3.474474,0.762,0.0499,0.0,87.2,1.686,,0.325,1,Transit,2011,113.1842417,33.83502778,0.63,11.03,419.0,1.38,1.64,6446.0,4.15,0.05,1e-06,0.101,0.0005,0.0,0.0,0.045,,0.002,66.0,0.04,0.03,88.0,0.01,0.08,1e-06,-0.101,-0.0005,0.0,-0.1,-0.045,,-0.002,66.0,0.096,0.28,88.0,0.01,0.08,13.7,0.5,,2.4,0.4,0.4,,
125,HAT-P-34 b,5.452654,3.328,0.0677,0.441,87.1,1.107,0.0,0.336,1,Transit,2012,303.1953542,18.10483333,0.410001,10.162,257.0,1.36,1.45,6509.0,4.21,0.22,1.6e-05,0.211,0.0008,0.032,1.2,0.092,14.0,0.099,17.0,0.01,0.11,51.0,0.06,0.04,1.6e-05,0.211,0.0008,-0.032,1.2,0.092,14.0,-0.128,17.0,0.01,0.11,51.0,0.06,0.04,24.0,0.5,,1.7,0.5,0.5,,
126,HAT-P-35 b,3.646706,1.054,0.0498,0.025,87.3,1.332,,0.357,1,Transit,2012,123.2507458,4.787027778,1.25,12.46,535.045,1.236,1.44,6096.0,4.21,0.11,2.1e-05,0.033,0.0006,0.018,1.0,0.098,,0.092,31.848,0.048,0.08,88.0,0.04,0.08,-2.1e-05,0.033,0.0006,-0.018,1.0,0.098,,0.127,28.4598,0.048,0.084,88.0,0.04,0.08,0.5,0.5,,3.5,0.5,0.5,,
127,HAT-P-36 b,1.327347,1.832,0.0238229,0.063,86.0,1.264,,0.312,1,Transit,2012,188.2662875,44.91530556,0.820001,12.262,317.0,1.022,1.096,5580.0,4.37,0.26,3e-06,0.099,0.000397048,0.032,1.3,0.071,,0.078,16.9998,0.049,0.056,100.0,0.04,0.08,-3e-06,-0.099,0.000397048,0.032,1.3,0.071,,-0.105,15.353,0.049,0.056,100.0,0.04,0.08,3.58,0.5,,6.6,1.8,1.8,,
128,HAT-P-37 b,2.797436,1.169,0.0379,0.058,86.9,1.178,,0.505,1,Transit,2012,284.2960751,51.26911111,-0.129999,13.23,411.0,0.93,0.877,5500.0,4.52,0.03,7e-06,0.103,0.0006,0.038,0.4,0.077,,0.041,25.9999,0.04,0.044,100.0,0.05,0.1,7e-06,-0.103,0.0006,0.038,-0.5,0.077,,0.062,23.0799,0.043,0.044,100.0,0.05,0.1,3.07,0.5,,3.6,2.2,2.2,,
130,HAT-P-39 b,3.54387,0.599,0.0509,0.0,87.0,1.571,,0.349,1,Transit,2012,113.7582458,17.83008333,,12.422,642.0,1.4,1.62,6430.0,4.16,0.19,5e-06,0.099,0.0006,,1.0,0.108,,0.085,29.0,0.05,0.08,100.0,0.03,0.1,-5e-06,0.099,0.0006,,1.0,0.081,,-0.12,29.0,0.051,0.062,100.0,0.03,0.1,12.7,0.5,,2.0,0.4,0.4,,-4.85
131,HAT-P-4 b,3.0565114,0.671,0.04438,0.0,89.91,1.274,-4.9,0.01,1,Transit,2007,229.9913334,36.22963889,0.7,11.2,313.48,1.248,1.6,5890.0,4.36,0.24,2.8e-06,0.033,0.00081,,0.09,0.049,11.9,0.23,25.5034,0.07,0.06,67.0,0.019,0.08,2.8e-06,-0.044,-0.0015,,-2.2,-0.06,11.9,-0.01,21.9344,0.11,0.07,67.0,0.201,0.08,0.0,0.0,0.0,4.2,-0.6,-0.6,,
132,HAT-P-40 b,4.457243,0.615,0.0608,0.0,88.3,1.73,,0.174,1,Transit,2012,335.5129083,45.45733333,0.84999,11.34,501.0,1.512,2.21,6080.0,3.93,0.22,1e-05,0.038,0.0006,,0.9,0.062,,0.091,16.0,0.045,0.06,100.0,0.02,0.1,1e-05,0.038,0.0015,,0.9,0.062,,-0.077,16.0,0.109,0.061,100.0,0.02,0.1,6.9,0.5,,2.7,0.9,0.3,,-5.12
133,HAT-P-41 b,2.694047,0.8,0.0426,0.0,87.7,1.685,,0.222,1,Transit,2012,297.3226625,4.672416667,0.29,11.36,344.0,1.418,1.683,6479.0,4.14,0.13,4e-06,0.102,0.0005,,1.0,0.076,,0.088,12.0,0.047,0.058,51.0,0.02,0.05,4e-06,0.102,0.0005,,1.0,0.051,,-0.093,8.0,0.047,0.036,51.0,0.02,0.05,19.6,0.5,,2.2,0.4,0.4,,-5.04
134,HAT-P-44 b,4.301217,0.392,0.0507,0.272,89.1,1.242,,0.172,2,Transit,2014,213.1440291,47.01469444,-0.0100002,13.21,363.0,0.94,0.979,5295.0,4.46,0.33,1.8e-05,0.031,0.0007,0.155,0.4,0.106,,0.079,24.0,0.04,0.055,100.0,0.06,0.1,1.8e-05,0.031,0.0007,0.155,-0.4,-0.051,,-0.074,38.0,-0.04,0.11,100.0,-0.06,0.1,0.2,0.5,-0.5,8.9,3.9,3.9,,
135,HAT-P-45 b,3.128992,0.893809,0.0452,0.049,87.8,1.426,,0.281,1,Transit,2014,274.3732416,-3.381027778,0.91,12.79,305.0,1.259,1.319,6330.0,4.3,0.07,1e-05,0.117892,0.0007,0.063,0.9,0.175,,0.085,26.0,0.058,0.1135,100.0,0.06,0.1,1e-05,0.117892,0.0007,0.063,0.9,0.087,,-0.106,44.0,0.058,0.1135,100.0,-0.06,0.1,9.3,0.5,-0.5,2.0,0.8,0.8,,
136,HAT-P-46 b,4.463129,0.495889,0.0576688,0.123,85.5,1.284,,0.626,2,Transit,2014,270.4442,-2.970944444,0.96,11.94,296.0,1.284,1.4,6120.0,4.25,0.3,4.8e-05,0.0680174,0.00116026,0.12,0.8,0.271,,0.036,45.0,0.095,0.29,100.0,0.11,0.1,4.8e-05,0.0680174,0.00116026,0.12,2.3,0.133,,-0.051,77.0,0.06,-0.14,100.0,-0.11,0.1,4.9,0.5,-0.5,2.5,0.7,1.0,,-5.257
137,HAT-P-49 b,2.691548,1.73,0.0438,0.0,86.2,1.413,,0.34,1,Transit,2014,305.4413667,26.69266667,0.41,10.21,322.0,1.54,1.833,6820.0,4.1,0.074,6e-06,0.205,0.0005,,1.7,0.128,,0.119,13.0,0.05,0.076,52.0,0.04,0.08,6e-06,0.205,0.0005,,1.7,0.077,,-0.141,24.0,-0.05,0.138,52.0,-0.04,0.08,16.0,0.5,-0.5,1.5,0.2,0.2,,
138,HAT-P-5 b,2.788491,1.06,0.0407152,0.0,86.75,1.26,,0.425,1,Transit,2007,274.4054126,36.62133333,0.97,12.0,310.54,1.157,1.137,5960.0,4.368,0.24,2.5e-05,0.11,0.000727266,,0.44,0.05,,0.045,24.9,0.043,0.007,100.0,0.025,0.15,2.5e-05,0.11,0.000727266,,0.44,-0.05,,0.05,-21.46,0.081,0.007,100.0,0.031,0.15,0.0,0.0,0.0,2.6,1.8,-1.8,,
139,HAT-P-54 b,3.799847,0.76,0.04117,0.074,87.04,0.944,36.4,0.741,1,Transit,2015,99.89800001,25.4825,1.327,13.505,135.8,0.65,0.62,4390.0,4.67,-0.127,1.4e-05,0.032,0.00043,0.0,0.084,0.028,0.7,0.01,3.5,0.02,0.01,50.0,0.01,0.08,-1.4e-05,0.032,0.00043,0.074,0.084,0.028,0.7,-0.011,3.5,-0.02,-0.01,50.0,-0.01,0.08,2.35,0.5,-0.5,3.9,4.3,2.1,,
140,HAT-P-56 b,2.7908327,2.18,0.0423,0.246,82.13,1.466,8.0,0.8725,1,Transit,2015,100.848045,27.252283,0.379,10.8,310.5,1.296,1.43,6566.0,4.24,-0.077,4.7e-06,0.25,0.00039,0.0,0.18,0.04,2.0,0.0044,7.1,0.036,0.03,50.0,0.01,0.08,4.7e-06,0.25,0.00039,0.246,0.18,0.04,2.0,-0.006,7.1,0.036,-0.03,50.0,-0.01,0.08,40.06,0.5,-0.5,2.01,0.35,0.35,,
141,HAT-P-57 b,2.465295,1.85,0.0406,0.0,88.26,1.413,,0.177,1,Transit,2015,274.7434376,10.59722222,0.451,10.64,303.0,1.47,1.5,7500.0,4.251,-0.25,3.2e-06,0.0,0.0011,,0.85,0.054,,0.09,13.0,0.12,0.05,250.0,0.018,0.25,3.2e-06,1.85,0.0011,,0.85,0.054,,-0.084,13.0,0.12,0.05,250.0,0.018,0.25,102.1,1.3,-1.3,1.0,0.67,0.51,,
