,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
3480,EPIC 220504338 b,5.817712,1.28,0.0575,0.0,86.44,0.91,,,1,Transit,2016,19.45000002,6.702222238,,13.68,553.4,1.007,1.047,5627.0,,0.18,4e-05,0.12,0.0074,,0.54,0.1,,,59.0,0.049,0.11,88.0,,0.062,4e-05,0.12,0.0057,,0.042,0.07,,,43.0,0.039,0.08,88.0,,0.062,,,,5.9,2.7,3.4,,
3502,HAT-P-67 b,4.81010205,0.34,0.06505,0.24,88.8,2.085,,0.12,1,Transit,2017,256.6125,44.77694447,,10.69,320.0,1.642,1.546,6406.0,,-0.08,4.3e-07,0.25,0.00273,0.12,1.3,0.096,,0.12,48.0,0.155,0.084,65.0,,0.04,3.3e-07,0.19,0.00079,0.12,1.3,0.071,,0.08,14.0,0.072,0.014,61.0,,0.04,,,,1.24,0.27,0.22,,
3503,HATS-19 b,4.569673,0.427,0.0589,0.3,86.6,1.66,,0.32,1,Transit,2016,147.4083333,-33.21861112,,13.0,780.0,1.303,1.74,5896.0,,0.24,1e-05,0.071,0.0013,0.1,1.7,0.27,,0.11,110.0,0.83,0.25,77.0,,0.05,1e-05,0.071,0.0013,0.1,1.7,0.21,,0.13,110.0,0.83,0.25,77.0,,0.05,,,,3.94,0.96,0.5,,
3505,HATS-21 b,3.5543973,0.332,0.04676,0.0,85.04,1.123,,0.853,1,Transit,2016,280.1833333,-58.45916668,,12.2,286.0,1.08,1.021,5695.0,,0.3,5.8e-06,0.04,0.00038,,0.23,0.147,,0.034,24.0,0.026,0.089,67.0,,0.04,5.8e-06,0.03,0.00038,,0.65,0.054,,0.014,12.0,0.026,0.036,67.0,,0.04,,,,2.3,1.7,1.7,,
3506,HATS-22 b,4.7228124,2.74,0.05025,0.079,87.96,0.953,,0.536,1,Transit,2016,174.0083333,-29.60055557,,13.46,207.9,0.759,0.689,4803.0,,0.0,5.2e-06,0.11,0.00042,0.026,0.21,0.048,,0.036,8.9,0.019,0.028,55.0,,0.04,5.2e-06,0.11,0.00042,0.026,0.21,0.029,,0.064,6.6,0.019,0.018,55.0,,0.04,,,,4.6,5.8,4.0,,
3507,HATS-23 b,2.1605156,1.47,0.03397,0.114,81.02,1.86,,0.949,1,Transit,2015,286.3666667,-50.0675,,13.9,747.0,1.121,1.199,5780.0,,0.28,4.5e-06,0.072,0.00047,0.0,0.93,0.3,,0.029,46.0,0.046,0.061,120.0,,0.07,4.5e-06,0.072,0.00047,0.114,0.62,0.4,,0.049,46.0,0.046,0.081,120.0,,0.07,,,,4.2,1.5,1.5,,
3508,HATS-24 b,1.3484954,2.44,0.02547,0.24,86.6,1.487,,0.276,1,Transit,2016,268.8916667,-61.74722225,,12.8,510.0,1.212,1.172,6346.0,,0.0,1.3e-06,0.18,0.00023,0.0,1.2,0.078,,0.08,15.0,0.033,0.033,81.0,,0.05,1.3e-06,0.18,0.00023,0.24,1.2,0.054,,0.1,15.0,0.033,0.033,81.0,,0.05,,,,0.88,0.067,0.045,,
3607,KELT-12 b,5.031555,0.821,0.0617,,89.85,0.632,,0.587,1,Transit,2016,267.6404958,36.57021946,,10.585,360.0,1.239,1.291,6278.0,,0.19,2e-06,0.056,0.0005,,0.11,0.014,,0.095,25.0,0.028,0.014,51.0,,0.083,2e-06,0.056,0.0005,,0.2,0.013,,0.095,25.0,0.028,0.013,51.0,,0.085,,,,2.2,0.1,0.1,,
3608,KELT-18 b,2.8717518,1.18,0.0455,0.0,88.86,1.57,,0.102,1,Transit,2017,216.525,59.44416668,,10.1,311.0,1.524,1.908,6670.0,,0.09,2.8e-06,0.11,0.00069,,0.79,0.042,,0.1,14.0,0.069,0.042,120.0,,0.13,2.8e-06,0.11,0.00069,,1.2,0.036,,0.071,14.0,0.069,0.035,120.0,,0.13,,,,1.9,0.2,0.2,,
3665,PSR 0636 b,0.067,8.0,,,,,,,1,Pulsar,2016,99.0,51.48333334,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,PSR J1807-2459 A b,0.07,9.4,,0.0,,,,,1,Pulsar,2000,151.8333333,-24.99805559,,,2790.0,1.4,,,,,0.003,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,
3671,PSR J2241-5236 b,0.14567224,12.0,,0.0,,,,,1,Pulsar,2011,340.425,-52.61000002,,,500.0,1.35,,,,,3e-10,,,,,,,,,,,,,,3e-10,,,,,,,,,,,,,,,,,5.22,,,,
3674,Qatar-3 b,2.5079204,4.31,0.03783,,86.8,1.096,,0.35,1,Transit,2016,359.15,36.21305557,,,,1.145,1.272,6007.0,,-0.041,9.9e-06,0.47,0.00069,,2.0,0.14,,0.22,,0.064,0.14,52.0,,0.081,9.9e-06,0.47,0.00069,,2.0,0.14,,0.22,,0.064,0.14,52.0,,0.081,,,,4.079,1.34,1.34,,
